,AREA_INDEX,MDATETIME,SO2_RFLAG,SO2,PM10_RFLAG,PM10,O3_RFLAG,O3,NO2_RFLAG,NO2,CO_RFLAG,CO,NOX_RFLAG,NOX,NO_RFLAG,NO,PM25_RFLAG,PM25,SO2_CODE,NO2_CODE,O3_CODE,CO_CODE,PM10_CODE,PM25_CODE,NO_CODE,NOX_CODE
2021-01-05 23:00:00,437181,2021-01-05 23:00:00,,0.003,,27.0,,0.036,,0.008,,0.4,,0.01,,0.002,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-06 00:00:00,437181,2021-01-06 00:00:00,,0.003,,27.0,,0.034,,0.009,,0.3,,0.011,,0.002,,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-06 01:00:00,437181,2021-01-06 01:00:00,,0.003,,23.0,,0.034,,0.009,,0.4,,0.011,,0.002,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-06 02:00:00,437181,2021-01-06 02:00:00,,0.003,,22.0,,0.033,,0.009,,0.4,,0.011,,0.002,,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-06 03:00:00,437181,2021-01-06 03:00:00,,0.003,,20.0,,0.031,,0.009,,0.3,,0.011,,0.002,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-06 04:00:00,437181,2021-01-06 04:00:00,,0.003,,26.0,,0.031,,0.009,,0.3,,0.011,,0.002,,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-06 05:00:00,437181,2021-01-06 05:00:00,,0.003,,23.0,,0.03,,0.009,,0.4,,0.011,,0.002,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-06 06:00:00,437181,2021-01-06 06:00:00,,0.003,,27.0,,0.024,,0.012,,0.4,,0.015,,0.003,,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-06 07:00:00,437181,2021-01-06 07:00:00,,0.002,,30.0,,0.021,,0.014,,0.4,,0.017,,0.003,,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-06 08:00:00,437181,2021-01-06 08:00:00,,0.003,,32.0,,0.019,,0.017,,0.4,,0.023,,0.006,,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-06 09:00:00,437181,2021-01-06 09:00:00,,0.003,,37.0,,0.024,,0.013,,0.4,,0.018,,0.005,,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
